header,category,location,title,description,website_url,image_url,youtube_url
나의,동작구,,사당동 공공복지 복합청사 건립,,https://www.seoul2030.com/56,https://cdn.imweb.me/thumbnail/20220510/0f5fc2d122915.png,
나의,동작구,,기상천 이전 후 도서관 등 활용 적극 검토,,https://www.seoul2030.com/56,https://cdn.imweb.me/thumbnail/20220510/0f5fc2d122915.png,
나의,동작구,,동작주차공원 개발,,https://www.seoul2030.com/56,https://cdn.imweb.me/thumbnail/20220510/0f5fc2d122915.png,
나의,마포구,,한류 공연관광 콤플렉스 조성(홍대-신촌-한강),,https://www.seoul2030.com/49,https://cdn.imweb.me/thumbnail/20220510/7617a8550dde5.png,
나의,마포구,,서부광역철도(대장-홍대선) 추진,,https://www.seoul2030.com/49,https://cdn.imweb.me/thumbnail/20220510/7617a8550dde5.png,
나의,마포구,,신안산선 2단계 노선에 만리재역 추가신설,,https://www.seoul2030.com/49,https://cdn.imweb.me/thumbnail/20220510/7617a8550dde5.png,
나의,마포구,,강북횡단선 상암랜드마크역 신설 검토,,https://www.seoul2030.com/49,https://cdn.imweb.me/thumbnail/20220510/7617a8550dde5.png,
나의,마포구,,서강대역 복합역사 개발,,https://www.seoul2030.com/49,https://cdn.imweb.me/thumbnail/20220510/7617a8550dde5.png,
나의,마포구,,성산자동차학원 부지 개발,,https://www.seoul2030.com/49,https://cdn.imweb.me/thumbnail/20220510/7617a8550dde5.png,
나의,서대문구,,강북횡단선 조기착공 (명지대-홍제동 경유),,https://www.seoul2030.com/45,https://cdn.imweb.me/thumbnail/20220510/7358843583770.png,
나의,서대문구,,서부경전철 조속추진,,https://www.seoul2030.com/45,https://cdn.imweb.me/thumbnail/20220510/7358843583770.png,
나의,서대문구,,유진상가 및 홍은사거리 일대 개발,,https://www.seoul2030.com/45,https://cdn.imweb.me/thumbnail/20220510/7358843583770.png,
나의,서대문구,,경의중앙선 지하화 (서울역-수색구간),,https://www.seoul2030.com/45,https://cdn.imweb.me/thumbnail/20220510/7358843583770.png,
나의,서초구,,경부선(양재-한남) 지하화 및 공원조성,,https://www.seoul2030.com/58,https://cdn.imweb.me/thumbnail/20220510/cc3942875412f.png,
나의,서초구,,방배-양재동 전선지중화 및 침수피해방지,,https://www.seoul2030.com/58,https://cdn.imweb.me/thumbnail/20220510/cc3942875412f.png,
나의,서초구,,GTX-E 강남구-서초구 경유,,https://www.seoul2030.com/58,https://cdn.imweb.me/thumbnail/20220510/cc3942875412f.png,
나의,서초구,,GTX-D 김포-강남-강동-하남 연장,,https://www.seoul2030.com/58,https://cdn.imweb.me/thumbnail/20220510/cc3942875412f.png,
나의,서초구,,사당역 복합환승센터 조속 건립,,https://www.seoul2030.com/58,https://cdn.imweb.me/thumbnail/20220510/cc3942875412f.png,
나의,서초구,,사당역 공공주택 1200호,,https://www.seoul2030.com/58,https://cdn.imweb.me/thumbnail/20220510/cc3942875412f.png,
나의,서초구,,남부/강남고속버스터미널 현대화,,https://www.seoul2030.com/58,https://cdn.imweb.me/thumbnail/20220510/cc3942875412f.png,
나의,성동구,,지하철 2호선 성동구 구간 지하화,,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성동구,,경의중앙선 지하화 (왕십리 노선),,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성동구,,삼표레미콘공장 이전 및 서울숲 복합시설 건립,,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성동구,,첨단 ICT산업 집적지 조성,,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성동구,,GTX-C 왕십리역 신설,,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성동구,,동북선 경전철 완공,,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성동구,,행당시장과 성수역상점가 특성화시장 육성,,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성동구,,옥수 한강변 휴식공간 및 보행로 조성,,https://www.seoul2030.com/47,https://cdn.imweb.me/thumbnail/20220510/455b8f18bc0c9.jpg,
나의,성북구,,강북횡단선 정릉성당역 신설,,https://www.seoul2030.com/42,https://cdn.imweb.me/thumbnail/20220510/62915f73d6e8b.jpg,
나의,성북구,,청소차고지 지하화,,https://www.seoul2030.com/42,https://cdn.imweb.me/thumbnail/20220510/62915f73d6e8b.jpg,
나의,성북구,,월곡 복합문화체육시설 건립,,https://www.seoul2030.com/42,https://cdn.imweb.me/thumbnail/20220510/62915f73d6e8b.jpg,
나의,성북구,,동대문세무서 부지 복합체육문화센터 건립,,https://www.seoul2030.com/42,https://cdn.imweb.me/thumbnail/20220510/62915f73d6e8b.jpg,
나의,성북구,,길음뉴타운 내 복합문화센터 건립,,https://www.seoul2030.com/42,https://cdn.imweb.me/thumbnail/20220510/62915f73d6e8b.jpg,
나의,성북구,,"성북 문화예술회관 건립 (장위동, 석관동)",,https://www.seoul2030.com/42,https://cdn.imweb.me/thumbnail/20220510/62915f73d6e8b.jpg,
나의,송파구,,위례선 트램 조기 완공,,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,송파구,,위례신사선 추진 (위례-삼성-신사),,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,송파구,,GTX-D 김포-강남-강동-하남 연장,,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,송파구,,GTX-F (파주-여주) 송파구 경유 추진,,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,송파구,,옛 성동구치소 부지 문화체육복합시설 건립,,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,송파구,,성내천 상류구간 생태하천 복원,,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,송파구,,코엑스-잠실운동장 일대 국제복합지구 조성,,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,송파구,,한국예술종합학교 통합캠퍼스 송파구 이전검토,,https://www.seoul2030.com/60,https://cdn.imweb.me/thumbnail/20220510/0b5635425136d.jpg,
나의,양천구,,신정차량기지 이전 및 신정지선 복선화,,https://www.seoul2030.com/52,https://cdn.imweb.me/thumbnail/20220510/4e1e45305113d.jpg,
나의,양천구,,노후 목동아파트 재건축,,https://www.seoul2030.com/52,https://cdn.imweb.me/thumbnail/20220510/4e1e45305113d.jpg,
나의,양천구,,목동유수지 혁신성장밸리 조성,,https://www.seoul2030.com/52,https://cdn.imweb.me/thumbnail/20220510/4e1e45305113d.jpg,
나의,양천구,,목동선 조기 추진,,https://www.seoul2030.com/52,https://cdn.imweb.me/thumbnail/20220510/4e1e45305113d.jpg,
나의,양천구,,공항소음 피해지역 주민지원 확대,,https://www.seoul2030.com/52,https://cdn.imweb.me/thumbnail/20220510/4e1e45305113d.jpg,
나의,영등포구,,1호선 지하화 및 지상부지 개발,,https://www.seoul2030.com/54,https://cdn.imweb.me/thumbnail/20220510/f355d273ee367.jpg,
나의,영등포구,,영등포역 고가도로 철거,,https://www.seoul2030.com/54,https://cdn.imweb.me/thumbnail/20220510/f355d273ee367.jpg,
나의,영등포구,,신길동 병무청부지 조속 이전,,https://www.seoul2030.com/54,https://cdn.imweb.me/thumbnail/20220510/f355d273ee367.jpg,
나의,영등포구,,E-스포츠 전용경기장 건립,,https://www.seoul2030.com/54,https://cdn.imweb.me/thumbnail/20220510/f355d273ee367.jpg,
